Ibukota Provinsi,Banda Aceh,M e d a n,P a d a n g,Pakanbaru,Jambi,Palembang,Bengkulu,Bandar Lampung,Jakarta
01/01/15,26286,24857,16540,16048,16270,19381,22000,14818,19267
01/02/15,27053,24167,16000,16947,16386,19123,22000,14750,18632
01/03/15,26636,22561,22591,18705,24061,27364,27000,24265,28618
01/04/15,30476,29341,26587,21167,25492,35278,35667,25952,29876
01/05/15,29684,30386,27193,22342,25877,37018,37053,29211,33758
01/06/15,34524,30651,25809,24857,26159,38302,39905,27262,33410
01/07/15,29526,26210,23105,22184,21439,25939,30211,19026,24705
01/08/15,25900,21283,19308,19250,16683,21827,25000,14862,19070
01/09/15,23000,19095,18571,17310,16095,18730,22095,15095,19086
01/10/15,24405,20992,22286,20452,17825,19746,24000,17762,19971
01/11/15,24381,21484,21444,20524,17810,20095,25143,17119,20781
01/12/15,30700,31342,25800,26100,28167,28067,29500,25800,31430
01/01/16,41650,37950,29033,34150,29600,36643,41900,27075,32461
01/02/16,34950,27817,22233,23975,25150,28948,35450,24550,28923
01/03/16,38476,40238,31968,33143,37079,42778,48095,37881,43671
01/04/16,47571,40476,32667,33262,38222,45222,48571,38238,42675
01/05/16,43600,38808,31617,31225,36900,46233,48000,37375,42073
01/06/16,41091,37038,30030,29523,31333,38015,43636,31182,38657
01/07/16,42125,35166,33271,34375,39458,46666,45062,41281,46165
01/08/16,38136,32796,27818,27500,30121,44212,48000,35386,41723
01/09/16,36143,30302,26841,29167,29619,39651,44476,33524,39316
01/10/16,38810,27714,25524,28571,27333,37333,45667,30167,36303
01/11/16,37455,31462,32470,34023,34121,40924,44727,36659,47227
01/12/16,37950,30792,24483,24575,27000,41475,40000,29875,37241
01/01/17,36762,26310,20936,23357,23651,35730,37714,27214,34221
01/02/17,33158,26965,23614,26026,26842,36351,38211,32474,39220
01/03/17,31182,28735,24470,28477,30970,38742,37045,33250,39719
01/04/17,30353,26922,23647,25029,24785,36588,39412,26000,33118
01/05/17,29700,24167,20817,20650,19833,37567,33000,25875,35932
01/06/17,28400,24178,20156,20933,22266,36000,34400,27833,38370
01/07/17,30190,27722,23968,26119,26412,33968,33952,29095,37182
01/08/17,30682,24720,23288,23909,23636,28227,30977,22523,29781
01/09/17,29556,24120,20389,20444,21556,23463,27333,20944,27955
01/10/17,25636,20796,19030,19364,18545,20939,25523,18773,26264
01/11/17,28409,22964,20727,20636,23545,23909,28864,22864,29277
01/12/17,30111,22092,20204,20222,20000,24370,27361,19944,27859
01/01/18,31818,22637,22727,22318,19636,22909,23955,18068,26624
01/02/18,31737,20991,20246,20289,20211,21789,25237,21526,28665
01/03/18,29905,23246,22460,24476,24532,26924,28524,24429,33550
01/04/18,34762,36143,33048,35726,33528,34760,38286,30690,34609
01/05/18,37875,31925,28675,30530,31560,38612,35628,32350,39475
01/06/18,33450,25475,22638,24745,24712,32712,30178,28050,33545
01/07/18,34432,27182,24352,25884,25716,28773,30398,26170,32830
01/08/18,29512,24083,23917,24193,23107,29440,26864,21893,26226
01/09/18,26355,17921,18039,21111,17579,27395,22258,19605,27408
01/10/18,22957,18337,16283,19372,18109,24467,20017,18696,27576
01/11/18,29893,25167,21786,24317,22524,31462,25238,23036,31988
01/12/18,33075,27400,25375,27485,24975,30425,24532,24050,32372
01/01/19,32283,25220,23065,24467,23793,30880,25970,25576,32570
01/02/19,28438,22060,19938,21048,20988,27275,22088,20212,27185
01/03/19,33381,30498,28833,30005,29452,33917,28795,29107,39224
01/04/19,36700,31720,30362,32402,34925,42475,37130,37325,43498
01/05/19,38798,30579,29500,32400,30107,36214,37243,31786,39500
01/06/19,33550,29275,29225,32282,27000,32812,29455,28862,33480
01/07/19,34641,28139,27859,30661,26380,33130,32241,29424,34878
01/08/19,29523,23414,19795,22627,21318,28341,24075,24875,30952
01/09/19,24786,18048,18881,19395,17048,25393,16421,17952,25062
01/10/19,25793,22887,22196,22604,21772,26522,20607,21152,29250
01/11/19,31690,28929,25381,27519,28964,29869,28850,28667,35762
01/12/19,36275,31570,29175,30720,33025,36462,34585,33088,40595
01/01/20,41793,35557,34380,34320,29761,35913,33628,31663,38580
01/02/20,42200,32865,33338,29835,28525,35062,33828,30075,37212
01/03/20,36091,29323,28227,30034,30841,35125,33600,31227,39464
01/04/20,44083,41910,40071,43005,40964,50000,42531,42619,55395
01/05/20,54208,47211,45139,47017,46250,48222,47542,43208,52733
01/06/20,46131,42543,38298,41695,45119,54321,49698,48607,55433
01/07/20,33341,28432,26341,25520,38080,34909,33805,35500,41405
01/08/20,32361,24667,21861,23319,31958,30444,28106,28431,35003
01/09/20,30170,26527,24205,25434,27341,26409,28452,28784,34191
01/10/20,34671,29437,24382,25758,28237,33816,32224,31566,37713
01/11/20,38595,31762,27679,29393,33833,36976,35955,34798,37702
01/12/20,39026,27479,24921,26247,30342,34171,32553,30316,36921
01/01/21,37538,28910,24850,27200,29500,32562,28758,28538,34412
01/02/21,35053,27737,25237,27597,29789,33632,28387,32434,39968
01/03/21,35386,30636,28943,29477,30000,37523,35066,35239,41893
01/04/21,36405,30990,29476,30695,30524,40250,29650,32286,37895
01/05/21,35853,30341,31235,30744,31059,39309,31135,31176,36765
01/06/21,32393,29367,24429,25657,29500,36000,32295,30548,35364
01/07/21,34714,31171,27429,27538,27940,39095,34133,31298,37619
01/08/21,34988,31225,30988,29718,29575,38425,33442,31288,35490
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
